"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2025","EQ","933.90","950.00","924.20","933.90","940.00","941.10","941.03","1,060.00","700.00","4,53,074","42,63,55,481.85","25,080"
"08-Apr-2025","EQ","928.05","944.40","927.80","921.15","934.80","933.90","936.80","1,060.00","700.00","4,53,881","42,51,96,815.55","26,294"
"07-Apr-2025","EQ","900.00","936.40","896.60","941.55","924.30","921.15","920.92","1,060.00","700.00","10,95,444","1,00,88,21,660.80","33,517"
"04-Apr-2025","EQ","938.00","958.25","933.20","941.40","942.80","941.55","944.93","1,060.00","700.00","8,99,957","85,03,95,563.60","34,044"
"03-Apr-2025","EQ","916.65","953.00","900.00","916.65","943.50","941.40","940.51","1,060.00","700.00","19,82,214","1,86,42,93,303.00","58,087"
"02-Apr-2025","EQ","901.70","927.20","893.50","901.15","915.00","916.65","916.48","1,060.00","700.00","6,47,706","59,36,10,094.60","29,113"
"01-Apr-2025","EQ","897.90","906.10","885.50","896.75","895.75","901.15","899.13","1,060.00","700.00","3,90,760","35,13,42,514.80","15,100"
"28-Mar-2025","EQ","885.05","912.00","884.85","882.75","892.75","896.75","902.93","1,060.00","700.00","11,59,977","1,04,73,76,447.20","44,066"
"27-Mar-2025","EQ","850.00","888.45","844.75","852.15","881.00","882.75","875.26","1,060.00","700.00","12,56,229","1,09,95,27,169.40","40,459"
"26-Mar-2025","EQ","866.80","870.00","848.00","862.50","850.00","852.15","858.21","1,060.00","700.00","9,11,807","78,25,19,666.65","17,414"
"25-Mar-2025","EQ","868.50","888.55","858.40","861.10","864.95","862.50","869.93","1,060.00","700.00","9,52,187","82,83,38,379.35","28,726"
"24-Mar-2025","EQ","856.35","869.90","851.65","855.85","859.50","861.10","862.17","1,060.00","700.00","4,31,587","37,21,01,874.05","17,133"
"21-Mar-2025","EQ","848.95","866.20","841.20","848.95","859.50","855.85","854.11","1,060.00","700.00","7,39,933","63,19,84,979.35","16,089"
"20-Mar-2025","EQ","862.50","862.50","846.45","855.95","847.05","848.95","853.63","1,060.00","700.00","2,37,815","20,30,07,106.00","14,539"
"19-Mar-2025","EQ","844.90","867.65","840.80","839.90","855.00","855.95","856.77","1,060.00","700.00","3,39,770","29,11,03,965.35","17,920"
"18-Mar-2025","EQ","835.00","848.20","825.55","831.30","843.10","839.90","833.75","1,060.00","700.00","5,27,570","43,98,62,235.85","27,532"
"17-Mar-2025","EQ","802.00","835.85","800.60","801.55","831.50","831.30","825.82","1,060.00","700.00","8,23,750","68,02,65,206.50","24,221"
"13-Mar-2025","EQ","809.00","818.30","795.00","820.10","800.25","801.55","806.42","1,060.00","700.00","8,11,034","65,40,36,206.60","26,016"
"12-Mar-2025","EQ","858.35","860.95","788.20","854.65","816.10","820.10","810.07","1,060.00","700.00","31,95,218","2,58,83,34,607.35","94,107"
"11-Mar-2025","EQ","855.50","867.00","851.05","863.15","856.00","854.65","855.83","1,060.00","700.00","1,36,092","11,64,71,994.30","11,915"
"10-Mar-2025","EQ","874.95","880.65","859.60","871.65","868.40","863.15","868.02","1,060.00","700.00","1,89,843","16,47,87,655.20","9,910"
"07-Mar-2025","EQ","876.30","888.35","867.45","876.30","874.90","871.65","878.54","1,060.00","700.00","1,72,462","15,15,15,369.05","12,828"
"06-Mar-2025","EQ","867.70","890.00","860.65","860.80","875.10","876.30","876.88","1,060.00","700.00","5,52,230","48,42,41,836.20","27,589"
"05-Mar-2025","EQ","846.05","862.75","843.00","846.50","859.55","860.80","856.89","1,060.00","700.00","4,81,892","41,29,28,347.75","22,634"
"04-Mar-2025","EQ","831.00","852.65","827.30","841.60","846.05","846.50","842.84","1,060.00","700.00","3,06,414","25,82,57,071.75","17,058"
"03-Mar-2025","EQ","834.00","844.55","817.35","829.00","834.55","841.60","834.46","1,060.00","700.00","2,68,281","22,38,69,034.70","14,988"
"28-Feb-2025","EQ","834.70","840.45","811.85","842.85","832.95","829.00","826.64","1,060.00","700.00","4,97,208","41,10,13,090.00","17,688"
"27-Feb-2025","EQ","847.20","855.00","834.70","850.35","834.70","842.85","844.92","1,060.00","700.00","4,28,608","36,21,37,448.90","19,022"
"25-Feb-2025","EQ","847.95","862.70","847.20","849.95","847.20","850.35","853.56","1,060.00","700.00","2,96,631","25,31,92,539.05","13,522"
"24-Feb-2025","EQ","841.90","852.70","835.00","852.35","851.40","849.95","844.60","1,060.00","700.00","1,89,858","16,03,53,668.95","10,794"
"21-Feb-2025","EQ","859.25","872.30","845.00","860.10","852.30","852.35","852.81","1,060.00","700.00","3,50,844","29,92,04,509.10","16,143"
"20-Feb-2025","EQ","855.00","869.90","850.00","862.05","861.90","860.10","862.46","1,060.00","700.00","1,19,350","10,29,34,227.35","6,835"
"19-Feb-2025","EQ","844.30","873.85","844.30","850.20","861.85","862.05","865.15","1,060.00","700.00","3,26,431","28,24,12,597.10","19,151"
